"dist","dname","female","male","total"
1,"Taplejung",59817,60773,120590
2,"Sankhuwasabha",78462,79579,158041
3,"Solukhumbu",52104,52747,104851
4,"Okhaldhunga",71472,68080,139552
5,"Khotang",88661,86637,175298
6,"Bhojpur",79712,78211,157923
7,"Dhankuta",76775,73824,150599
8,"Terhathum",45150,43581,88731
9,"Panchthar",86717,85683,172400
10,"Ilam",140103,139431,279534
11,"Jhapa",519545,478509,998054
12,"Morang",590644,557512,1148156
13,"Sunsari",477939,449023,926962
14,"Udayapur",176983,163738,340721
15,"Saptari",354887,351368,706255
16,"Siraha",376229,363724,739953
17,"Dhanusa",437854,429893,867747
18,"Mahottari",357835,349159,706994
19,"Sarlahi",427339,435131,862470
20,"Rautahat",405170,408403,813573
21,"Bara",373350,389787,763137
22,"Parsa",316185,338286,654471
23,"Dolakha",89047,83720,172767
24,"Sindhupalchok",133419,129205,262624
25,"Rasuwa",22654,24035,46689
26,"Dhading",166662,159048,325710
27,"Nuwakot",134393,128998,263391
28,"Kathmandu",1005861,1035726,2041587
29,"Bhaktapur",213714,218418,432132
30,"Lalitpur",274536,277131,551667
31,"Kavrepalanchok",185130,178909,364039
32,"Ramechhap",89478,80824,170302
33,"Sindhuli",152961,147065,300026
34,"Makwanpur",232257,233816,466073
35,"Chitawan",368070,351789,719859
36,"Gorkha",132872,118155,251027
37,"Manang",2466,3192,5658
38,"Mustang",6518,7934,14452
39,"Myagdi",54880,52153,107033
40,"Kaski",307260,292791,600051
41,"Lamjung",81775,74077,155852
42,"Tanahu",171059,150094,321153
43,"Nawalparasi (bardaghat susta east)",200192,177887,378079
44,"Syangja",136346,116678,253024
45,"Parbat",69209,61678,130887
46,"Baglung",133017,116194,249211
47,"Rukum (east)",29270,27516,56786
48,"Rolpa",124922,109871,234793
49,"Pyuthan",127887,104132,232019
50,"Gulmi",134469,112025,246494
51,"Arghakhanchi",96414,80672,177086
52,"Palpa",132266,112761,245027
53,"Nawalparasi (bardaghat susta west)",198686,188182,386868
54,"Rupandehi",571479,550478,1121957
55,"Kapilbastu",348274,334687,682961
56,"Dang",354420,320573,674993
57,"Banke",306449,296745,603194
58,"Bardiya",243134,216766,459900
59,"Dolpa",21403,21371,42774
60,"Mugu",32168,32381,64549
61,"Humla",27508,27886,55394
62,"Jumla",59121,59228,118349
63,"Kalikot",73047,72245,145292
64,"Dailekh",131539,120774,252313
65,"Jajarkot",95297,94063,189360
66,"Rukum (west)",85649,81091,166740
67,"Salyan",123533,114982,238515
68,"Surkhet",215386,199740,415126
69,"Bajura",71453,67070,138523
70,"Bajhang",100615,88470,189085
71,"Darchula",68886,64424,133310
72,"Baitadi",128293,113864,242157
73,"Dadeldhura",73709,65893,139602
74,"Doti",111227,93604,204831
75,"Achham",123533,105319,228852
76,"Kailali",471210,433456,904666
77,"Kanchanpur",273071,240686,513757
