sex,age,Nepal,Koshi,Madhesh,Bagmati,Gandaki,Lumbini,Karnali,Sudurpaschim
m,0,219317,33410,53264,35878,14770,40338,16541,25116
m,1,240488,37738,61186,41474,17013,43465,16212,23400
m,2,269561,40184,75808,43486,18579,47330,18225,25949
m,3,278785,42591,78496,43924,19429,49940,18445,25960
m,4,282374,44696,74596,46581,20318,49705,19135,27343
m,5,299149,46348,84268,48082,20897,53048,18607,27899
m,6,294386,46591,77286,49777,21672,52302,18503,28255
m,7,276257,46224,67919,46488,21206,50084,17418,26918
m,8,313330,48741,85023,49256,22064,56935,20176,31135
m,9,260283,43670,52797,48650,21486,47481,18641,27558
m,10,338785,49853,97423,53659,22570,59512,21438,34330
m,11,246281,40767,48345,46444,20884,44621,17618,27602
m,12,330149,48573,84652,54049,23118,59297,23308,37152
m,13,281718,45418,57354,52002,22617,51010,21211,32106
m,14,299021,46934,64478,53439,23585,54462,22096,34027
m,15,305750,48740,67332,56035,24077,55374,21157,33035
m,16,306773,48196,70673,58203,23627,54905,20543,30626
m,17,272098,46766,53719,57989,23174,49269,16218,24963
m,18,360584,55634,90560,71001,26578,62545,22284,31982
m,19,249318,43379,45001,58642,22171,43950,15350,20825
m,20,331157,50247,84860,69430,23831,56295,18555,27939
m,21,233905,40209,39960,56812,21119,40902,15145,19758
m,22,280879,44491,63718,62596,21052,48335,16799,23888
m,23,223481,37548,39049,56075,19288,38288,14113,19120
m,24,231596,38265,43039,57838,19148,38704,14182,20420
m,25,278628,43494,72365,60779,19226,46711,14484,21569
m,26,228955,38269,42139,57392,18242,39416,13367,20130
m,27,191529,34151,33070,49141,16143,32514,10705,15805
m,28,258447,42339,54215,62404,18981,44053,14614,21841
m,29,164683,30398,20904,45388,15978,28462,9677,13876
m,30,288325,42541,80720,60256,18438,48844,14107,23419
m,31,144654,27064,16833,41789,14243,24864,7922,11939
m,32,206137,34528,39822,51039,16171,36126,10862,17589
m,33,176264,34386,23929,48785,15704,29060,9883,14517
m,34,163596,30333,22406,45333,15203,27794,8986,13541
m,35,280538,42640,82763,55424,17056,47295,12618,22742
m,36,178760,32037,28769,47826,15345,30243,9676,14864
m,37,141832,27655,19406,39559,13364,23839,7145,10864
m,38,200207,34318,37365,49741,15742,34708,10598,17735
m,39,135594,27566,16157,38332,13217,23355,6565,10402
m,40,294351,43963,89022,58281,17531,48251,13208,24095
m,41,114250,23118,13055,33206,11252,19317,5601,8701
m,42,175424,32013,31338,44729,14337,30363,8546,14098
m,43,131071,26536,16108,36746,12486,21465,6882,10848
m,44,113397,24197,12967,32413,11282,18288,5454,8796
m,45,226847,34418,68642,43088,13960,37615,10245,18879
m,46,124940,24728,16230,33626,12197,20677,7133,10349
m,47,95430,19299,12304,27032,9606,15613,4855,6721
m,48,141181,25566,25239,35637,12198,23072,7753,11716
m,49,99127,20876,11344,28365,10607,16002,4944,6989
m,50,241544,38163,68015,49255,16606,37338,11773,20394
m,51,101180,21380,11927,27455,10992,16769,4863,7794
m,52,135091,25856,22536,33938,12624,22237,6806,11094
m,53,110873,23261,13798,29691,11569,18269,5623,8662
m,54,103806,21769,12701,28165,11173,17146,5029,7823
m,55,170720,26890,50453,31593,11862,28328,7579,14015
m,56,106193,21943,15537,26566,10967,17268,5373,8539
m,57,78684,16495,10607,19660,8783,13141,3993,6005
m,58,106457,20544,17070,25447,10914,17506,6020,8956
m,59,75504,16586,7905,19936,9200,12248,4129,5500
m,60,174137,28319,48907,33763,13584,27698,7967,13899
m,61,68970,15252,7656,17449,8677,11205,3714,5017
m,62,87610,18137,14223,19787,9140,14859,4550,6914
m,63,71064,14929,9161,17352,8568,11649,3751,5654
m,64,64181,13578,7399,16310,7898,10760,3448,4788
m,65,120479,18630,37983,20570,9170,19677,5141,9308
m,66,65222,13866,9270,15306,7785,10843,3211,4941
m,67,58086,11847,7371,14558,7339,9954,2705,4312
m,68,77257,14394,16289,15669,7650,12994,3585,6676
m,69,58645,12274,10060,12715,6374,10116,2554,4552
m,70,104076,15662,33551,16057,7844,17506,4505,8951
m,71,49781,10090,7575,11137,5766,8497,2513,4203
m,72,58484,10455,12883,11519,6119,10191,2566,4751
m,73,42721,8588,6911,9161,4890,7171,2076,3924
m,74,36992,7714,5217,8372,4478,6404,1692,3115
m,75,57240,8599,18557,9385,4603,9555,1847,4694
m,76,33985,6315,4911,8477,4101,5529,1524,3128
m,77,32970,7224,3163,8963,4423,5210,1481,2506
m,78,30739,5352,5342,6843,3626,5315,1358,2903
m,79,16064,3990,1137,4349,2463,2514,580,1031
m,80,29104,4815,7566,5652,2962,4768,950,2391
m,81,12778,3019,880,3493,2071,2011,449,855
m,82,14046,3078,1298,3871,2190,2185,439,985
m,83,11740,2737,757,3241,2096,1700,409,800
m,84,10647,2434,635,3296,1725,1480,358,719
m,85,11959,2277,2673,2723,1345,1831,295,815
m,86,7253,1675,611,2195,1082,1024,207,459
m,87,5739,1391,363,1832,895,787,162,309
m,88,7967,1807,690,2618,1159,971,217,505
m,89,3970,758,593,1110,520,643,97,249
m,90,5789,935,1461,1323,608,910,112,440
m,91,2168,511,120,660,374,332,52,119
m,92,2151,453,183,656,370,299,59,131
m,93,1802,389,128,585,333,230,33,104
m,94,1281,299,79,378,222,196,27,80
m,95,1870,287,563,369,191,301,30,129
m,96,920,180,112,252,161,128,27,60
m,97,616,95,75,190,105,97,16,38
m,98,1008,170,158,254,170,155,34,67
m,99,646,67,86,157,165,94,43,34
m,100,1750,203,687,260,119,325,39,117
f,0,191842,30744,43675,31897,13195,36111,14940,21280
f,1,209981,34725,50930,36731,14697,39047,14013,19838
f,2,241294,37649,66195,38642,16282,43310,16662,22554
f,3,252510,39628,70990,38808,16965,45548,17396,23175
f,4,253131,41607,65982,41057,17682,45047,17232,24524
f,5,269216,43305,74507,42232,18343,48170,17230,25429
f,6,268359,43753,69776,44199,19317,48037,17489,25788
f,7,258021,44424,64189,41887,18505,46762,17131,25123
f,8,286398,46240,78298,43672,19438,51474,18785,28491
f,9,241028,42050,49402,43454,19095,43645,17738,25644
f,10,307987,46650,87550,47158,20486,53841,20272,32030
f,11,228735,38859,43937,42244,19201,41366,17275,25853
f,12,308668,46750,79441,49339,21567,54708,21908,34955
f,13,275172,44859,56397,48574,21556,50602,21066,32118
f,14,293349,46395,64078,50631,22231,53659,22180,34175
f,15,301378,48185,65280,52807,23147,56051,21782,34126
f,16,302206,47393,67716,54599,22399,56350,21204,32545
f,17,265803,45383,48899,53538,22647,50206,17253,27877
f,18,347802,53893,78526,65250,25784,63941,23849,36559
f,19,254692,44311,41010,55906,22641,48309,17104,25411
f,20,373473,56153,96893,67952,25659,66283,22561,37972
f,21,253194,44266,38967,55937,23057,47762,17359,25846
f,22,315694,50421,68280,63074,24456,57749,19821,31893
f,23,266665,44305,45500,59189,23637,50792,16658,26584
f,24,273016,45329,47871,61306,23623,51536,16068,27283
f,25,342705,54892,89881,65806,25116,60162,17058,29790
f,26,270852,45715,47081,61378,23999,51852,15274,25553
f,27,219359,39297,34282,52433,20764,41291,11701,19591
f,28,312667,50765,65876,68015,25398,58425,16248,27940
f,29,191524,35126,21169,49257,21162,37599,10204,17007
f,30,356890,52340,100941,67846,25127,61992,16502,32142
