r_name,Rural,Urban,Peri-urban,total,urb_per
Taplejung,103563.7296,16819.20283,NA,120382.9325,13.97
Sankhuwasabha,133916.8236,22661.2631,NA,156578.0867,14.47
Solukhumbu,104098.8699,NA,NA,104098.8699,0
Okhaldhunga,133205.237,5159.500689,NA,138364.7377,3.73
Khotang,168292.2813,6768.407134,NA,175060.6885,3.87
Bhojpur,148368.7872,8170.887018,NA,156539.6742,5.22
Dhankuta,126947.542,23188.9353,NA,150136.4773,15.45
Tehrathum,88599.50573,NA,NA,88599.50573,0
Panchthar,152337.0371,17800.96178,NA,170137.9988,10.46
Ilam,219735.3618,23061.05335,36220.02194,279016.4371,8.27
Jhapa,43920.25871,193822.8149,769817.7014,1007560.775,19.24
Morang,81076.33003,372264.9531,694293.1734,1147634.457,32.44
Sunsari,23823.37643,420943.5262,496006.0212,940772.9238,44.74
Udayapur,257840.7354,32883.55485,50884.16496,341608.4552,9.63
Saptari,54923.26915,35803.1298,609767.917,700494.316,5.11
Siraha,36873.0114,70861.09935,631553.3084,739287.4192,9.59
Dhanusa,22999.99922,200950.9994,641158.0535,865109.0521,23.23
Mahottari,38307.61587,141695.5599,526712.3978,706715.5736,20.05
Sarlahi,50838.49934,129845.9769,681046.973,861731.4492,15.07
Rautahat,51839.89561,225655.6702,536619.4344,814115.0003,27.72
Bara,66150.71538,218347.7485,477967.4738,762465.9377,28.64
Parsa,34224.78364,243410.9439,382395.7523,660031.4798,36.88
Dolakha,156888.5248,18375.78615,NA,175264.311,10.48
Sindhupalchok,202039.596,59083.48219,NA,261123.0782,22.63
Rasuwa,32323.81827,12461.58746,NA,44785.40573,27.83
Dhading,241079.1024,54901.84085,29377.73434,325358.6776,16.87
Nuwakot,150220.9567,19864.78843,90802.3591,260888.1043,7.61
Kathmandu,18535.10936,1899320.214,113572.7915,2031428.115,93.5
Bhaktapur,NA,388762.3183,39786.29994,428548.6183,90.72
Lalitpur,32308.11218,476549.1784,41095.32007,549952.6107,86.65
Kavrepalanchok,179527.7663,100743.9187,90988.20754,371259.8925,27.14
Ramechhap,160523.5102,8759.715203,NA,169283.2254,5.17
Sindhuli,255881.6707,28999.49167,17179.92534,302061.0877,9.6
Makwanpur,260093.8253,116054.988,87369.1179,463517.9312,25.04
Chitawan,110951.2368,239385.029,362564.0598,712900.3256,33.58
Gorkha,202644.8898,19478.3281,26350.98741,248474.2054,7.84
Manang,5766.379104,NA,NA,5766.379104,0
Mustang,15259.61296,NA,NA,15259.61296,0
Myagdi,76639.6916,14455.55684,17126.66027,108221.9087,13.36
Kaski,101154.5531,320736.6077,180887.1329,602778.2936,53.21
Lamjung,115001.3569,31328.68643,10306.78395,156636.8272,20
Tanahu,196869.8745,85433.79517,37329.5894,319633.2591,26.73
Nawalparasi (East),127264.2465,76508.34316,175311.0569,379083.6466,20.18
Syangja,154619.4682,34545.63926,63693.69708,252858.8045,13.66
Parbat,79022.51794,24233.78665,28142.51905,131398.8236,18.44
Baglung,174808.8478,46853.80905,29106.28468,250768.9415,18.68
Rukum (East),57085.89121,NA,NA,57085.89121,0
Rolpa,221883.2704,10035.45166,NA,231918.722,4.33
Pyuthan,194248.9075,37569.7656,NA,231818.6731,16.21
Gulmi,208018.5518,31541.05193,7291.761077,246851.3648,12.78
Arghakhanchi,149060.5303,26433.32162,3311.689048,178805.541,14.78
Palpa,177881.2772,42987.39642,20791.29126,241659.9649,17.79
Nawalparasi (West),37580.31088,43044.39282,304799.067,385423.7707,11.17
Rupandehi,26069.99091,311913.5955,793762.8005,1131746.387,27.56
Kapilbastu,85569.24382,35157.75578,564862.3123,685589.312,5.13
Dang,249620.1983,182371.0306,241741.0794,673732.3083,27.07
Banke,111217.3087,131136.7692,359010.6102,601364.6881,21.81
Bardiya,77953.02243,12526.27922,371219.4639,461698.7655,2.71
Dolpa,42829.09703,NA,NA,42829.09703,0
Mugu,57625.9519,6962.671825,NA,64588.62372,10.78
Humla,56855.37637,NA,NA,56855.37637,0
Jumla,106190.135,11446.40505,NA,117636.5401,9.73
Kalikot,108995.8872,36512.59205,NA,145508.4792,25.09
Dailekh,201338.4337,51726.05822,NA,253064.4919,20.44
Jajarkot,181332.655,6922.7982,NA,188255.4532,3.68
Rukum (West),127172.5551,39515.2866,NA,166687.8417,23.71
Salyan,224373.3531,10896.04514,NA,235269.3982,4.63
Surkhet,239225.9568,97672.58785,74574.11955,411472.6642,23.74
Bajura,128616.7592,9674.798225,NA,138291.5574,7
Bajhang,182078.4754,6190.904452,NA,188269.3798,3.29
Darchula,120807.4991,12202.10069,NA,133009.5998,9.17
Baitadi,229519.1625,13280.31373,NA,242799.4763,5.47
Dadeldhura,132988.0104,6829.691161,NA,139817.7016,4.88
Doti,179014.7054,24022.64389,NA,203037.3493,11.83
Achham,201936.6746,26379.27113,NA,228315.9457,11.55
Kailali,244223.2129,190325.0265,472816.6919,907364.9314,20.98
Kanchanpur,90175.91314,62675.69409,367262.7652,520114.3725,12.05
